MODE,SCENARIO,FEE_BPS_PER_LEG,TYPE,TIME_US,PAIR_ID,SYMBOL,CAPITAL,CYCLES,OLD_HOTLINE,NEW_HOTLINE,REASON,AFFECTED_C2_ORDER_IDS
PARALLEL_TWO_PAIR,F1,1,HOTLINE_CHANGE,1769907600094803,PAIR_B,FDUSDUSDT,,,,0.9984,INITIAL_BOOK,[]
PARALLEL_TWO_PAIR,F1,1,HOTLINE_CHANGE,1769909767494842,PAIR_B,FDUSDUSDT,,,0.9984,0.9985,MIDPOINT_TICK_CHANGE,"[""PAIR_B:O:000002"", ""PAIR_B:O:000004"", ""PAIR_B:O:000006"", ""PAIR_B:O:000008""]"
PARALLEL_TWO_PAIR,F1,1,HOTLINE_CHANGE,1769916924094917,PAIR_B,FDUSDUSDT,,,0.9985,0.9984,MIDPOINT_TICK_CHANGE,"[""PAIR_B:O:000009"", ""PAIR_B:O:000010"", ""PAIR_B:O:000011"", ""PAIR_B:O:000012""]"
PARALLEL_TWO_PAIR,F1,1,HOTLINE_CHANGE,1769917195894744,PAIR_B,FDUSDUSDT,,,0.9984,0.9985,MIDPOINT_TICK_CHANGE,"[""PAIR_B:O:000013"", ""PAIR_B:O:000014"", ""PAIR_B:O:000015"", ""PAIR_B:O:000016""]"
PARALLEL_TWO_PAIR,F1,1,CHECKPOINT,1769907600000000,PAIR_B,,0,0,,,,
PARALLEL_TWO_PAIR,F1,1,CHECKPOINT,1769909400000000,PAIR_B,,79.8280,0,,,,
PARALLEL_TWO_PAIR,F1,1,CHECKPOINT,1769911200000000,PAIR_B,,79.8320,0,,,,
PARALLEL_TWO_PAIR,F1,1,CHECKPOINT,1769913000000000,PAIR_B,,79.8320,0,,,,
PARALLEL_TWO_PAIR,F1,1,CHECKPOINT,1769914800000000,PAIR_B,,79.8320,0,,,,
PARALLEL_TWO_PAIR,F1,1,CHECKPOINT,1769916600000000,PAIR_B,,79.8320,0,,,,
PARALLEL_TWO_PAIR,F1,1,CHECKPOINT,1769918400000000,PAIR_B,,79.8320,0,,,,
PARALLEL_TWO_PAIR,F2,2,HOTLINE_CHANGE,1769907600094803,PAIR_B,FDUSDUSDT,,,,0.9984,INITIAL_BOOK,[]
PARALLEL_TWO_PAIR,F2,2,HOTLINE_CHANGE,1769909767494842,PAIR_B,FDUSDUSDT,,,0.9984,0.9985,MIDPOINT_TICK_CHANGE,"[""PAIR_B:O:000002"", ""PAIR_B:O:000004"", ""PAIR_B:O:000006""]"
PARALLEL_TWO_PAIR,F2,2,HOTLINE_CHANGE,1769916924094917,PAIR_B,FDUSDUSDT,,,0.9985,0.9984,MIDPOINT_TICK_CHANGE,"[""PAIR_B:O:000007"", ""PAIR_B:O:000008"", ""PAIR_B:O:000009""]"
PARALLEL_TWO_PAIR,F2,2,HOTLINE_CHANGE,1769917195894744,PAIR_B,FDUSDUSDT,,,0.9984,0.9985,MIDPOINT_TICK_CHANGE,"[""PAIR_B:O:000010"", ""PAIR_B:O:000011"", ""PAIR_B:O:000012""]"
PARALLEL_TWO_PAIR,F2,2,CHECKPOINT,1769907600000000,PAIR_B,,0,0,,,,
PARALLEL_TWO_PAIR,F2,2,CHECKPOINT,1769909400000000,PAIR_B,,59.8680,0,,,,
PARALLEL_TWO_PAIR,F2,2,CHECKPOINT,1769911200000000,PAIR_B,,59.8710,0,,,,
PARALLEL_TWO_PAIR,F2,2,CHECKPOINT,1769913000000000,PAIR_B,,59.8710,0,,,,
PARALLEL_TWO_PAIR,F2,2,CHECKPOINT,1769914800000000,PAIR_B,,59.8710,0,,,,
PARALLEL_TWO_PAIR,F2,2,CHECKPOINT,1769916600000000,PAIR_B,,59.8710,0,,,,
PARALLEL_TWO_PAIR,F2,2,CHECKPOINT,1769918400000000,PAIR_B,,59.8710,0,,,,
PARALLEL_TWO_PAIR,F5,5,HOTLINE_CHANGE,1769907600094803,PAIR_B,FDUSDUSDT,,,,0.9984,INITIAL_BOOK,[]
